variant,param,sample,n_vars,n_clauses,encode_s,bootstrap_s,solve_s,wall_s,sat,conflicts,decisions,propagations,restarts,witness_hex,timeout,extra
A,6,6,31253,106151,0.016097832995001227,0.03454324998892844,0.09202058298978955,0.20990479202009737,True,660,4779,1233377,72,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=46,77,175,306,378,384"
A,6,7,31915,108363,0.016456374956760556,0.03512137499637902,0.10257370804902166,0.22174112498760223,True,525,2968,1365383,69,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=8,89,93,95,320,354"
A,8,0,31392,106609,0.016149292001500726,0.034466665994841605,0.20059016696177423,0.31450170796597376,True,981,3413,2319032,84,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=40,49,212,228,299,385,387,397"
A,8,1,31765,107859,0.016393958998378366,0.0344027079991065,0.11470199999166653,0.23325075005413964,True,386,1483,1363206,62,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=11,53,128,166,205,220,249,266"
A,8,2,31245,106126,0.016041167022194713,0.03446187498047948,0.4434444169746712,0.557323416986037,True,1303,4114,4529792,125,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=10,104,150,161,198,256,258,387"
A,8,3,31636,107422,0.016341375012416393,0.035081250010989606,0.30891887500183657,0.4272442089859396,True,465,1318,3684376,79,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=38,63,89,96,127,147,218,369"
A,8,4,32372,109870,0.01675033400533721,0.03551604098174721,0.07037270901491866,0.18992279202211648,True,400,1450,1033523,33,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=1,5,21,104,171,178,276,405"
A,8,5,32310,109670,0.016523458005394787,0.03472529200371355,0.37896608299342915,0.495431124989409,True,1018,3180,4286909,71,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=14,53,60,67,89,172,292,333"
A,8,6,32049,108794,0.016580916999373585,0.035312916967086494,0.09909483301453292,0.21444070804864168,True,1028,15237,1033878,159,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=1,18,69,111,150,227,245,361"
A,8,7,31681,107568,0.01644087501335889,0.034668374981265515,0.006130750000011176,0.12450066697783768,True,0,0,2474,0,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=40,52,255,316,344,350,361,399"
